"saleprice","horsepower","age","enghours","diesel","fwd","manual","johndeere","cab","spring","summer","winter"
153510,491,2,1148,1,1,1,1,1,1,0,0
192560,270,3,467,1,1,1,1,1,0,0,0
176510,215,5,1511,1,1,1,1,1,0,0,0
117940,205,2,128,1,1,0,0,1,0,0,1
123130,235,2,1620,1,1,0,0,1,1,0,0
82550,510,7,5038,1,1,1,0,1,0,1,0
93720,333,5,2825,1,1,1,0,1,0,0,1
108020,275,4,1360,1,1,1,0,1,1,0,0
118000,221,6,1003,1,1,0,0,1,0,0,0
103110,275,4,1227,1,1,1,0,1,1,0,0
87690,221,4,1250,1,1,1,0,1,0,0,1
104280,215,7,2221,1,1,0,0,1,0,0,0
57380,535,5,7297,1,1,1,0,1,0,0,1
82450,180,8,4257,1,1,0,0,1,0,0,0
66540,225,18,5624,1,1,1,1,1,1,0,0
51580,190,7,2699,1,1,1,0,1,0,0,1
38220,350,18,4985,1,1,1,1,1,0,0,1
48260,240,9,7056,1,1,1,0,1,1,0,0
53330,105,5,1650,1,1,1,1,1,0,0,0
45450,100,6,2872,1,1,0,0,1,0,1,0
44630,350,19,6131,1,1,1,0,1,0,0,0
47960,105,5,513,1,1,0,0,1,1,0,0
48310,145,17,3800,1,1,1,0,1,0,0,0
44230,187,29,3918,1,1,1,0,1,1,0,0
48350,95,5,460,1,1,0,0,1,0,0,0
45800,225,15,7595,1,1,1,0,1,0,0,0
45420,210,19,4990,1,1,0,0,1,0,0,0
40920,125,7,391,1,1,0,0,1,0,1,0
38920,210,18,7300,1,0,1,0,1,0,1,0
43910,95,5,300,1,1,1,0,1,1,0,0
40140,235,14,7750,1,1,1,0,1,1,0,0
35830,175,9,6390,1,1,1,0,1,0,1,0
37740,210,18,9224,1,1,0,0,1,1,0,0
36060,100,8,3517,1,1,0,0,1,0,1,0
40970,105,4,784,1,1,1,0,0,0,0,0
32760,95,5,2417,1,1,0,0,1,0,0,1
33630,215,18,6849,1,1,1,0,1,0,1,0
32060,78,4,78,1,1,0,0,1,0,0,1
37410,93,7,636,1,1,1,0,1,1,0,0
30790,150,17,9000,1,1,1,1,1,0,0,1
31370,85,16,1251,1,1,1,1,0,0,0,1
38600,91,6,26,1,1,0,0,1,0,0,0
29440,300,18,8975,1,1,1,1,1,0,1,0
37650,81,5,430,1,1,1,1,1,0,0,0
30130,80,5,271,1,0,0,0,1,0,0,1
29830,68,4,85,1,1,1,0,1,0,0,1
36970,95,7,2757,1,0,0,0,1,0,0,0
34380,65,4,410,1,1,0,0,1,1,0,0
33620,99,4,325,1,1,1,0,1,1,0,0
27450,360,18,8230,1,1,1,0,1,1,0,0
30740,99,17,4512,1,1,1,1,1,1,0,0
29200,200,25,2595,1,1,1,0,1,1,0,0
30010,110,13,4497,1,1,1,0,1,1,0,0
25450,85,8,1400,1,0,0,0,1,0,0,1
31080,120,11,721,1,1,0,0,1,0,0,0
26970,335,25,11685,1,1,1,0,1,0,0,0
23870,180,30,6400,1,0,1,0,1,0,0,1
28820,98,3,178,1,1,1,0,0,1,0,0
26810,95,5,2360,1,1,1,0,1,1,0,0
26840,90,6,1757,1,1,1,0,1,1,0,0
23390,325,23,9067,1,1,1,0,1,1,0,0
25480,150,14,9037,1,1,1,0,1,1,0,0
24030,50,4,9,1,1,1,0,0,0,1,0
26620,145,18,7194,1,1,1,0,1,0,0,0
24350,96,21,1010,1,1,1,0,1,1,0,0
25590,95,20,5439,1,0,1,0,1,0,0,0
23690,50,8,689,1,1,1,0,1,1,0,0
20860,97,27,5350,1,1,1,0,1,0,1,0
22430,95,8,680,1,1,0,0,1,1,0,0
20800,62,5,399,1,1,0,0,0,0,1,0
23300,133,28,3042,1,1,1,0,1,0,0,0
21270,130,17,9467,1,1,0,0,1,1,0,0
18150,106,21,4769,1,1,1,0,1,0,0,1
17730,98,24,2670,1,1,1,0,1,0,0,1
22190,94,23,9573,1,1,1,0,1,0,0,0
19140,105,10,3924,1,1,0,0,1,0,1,0
16530,335,25,7200,1,1,1,0,1,0,1,0
17080,78,6,1145,1,0,0,0,1,0,0,1
21130,100,23,13869,1,1,1,0,1,0,0,0
18320,90,19,9008,1,1,1,0,1,0,1,0
18010,105,7,1935,1,1,1,0,1,0,1,0
20500,90,17,5020,1,1,1,0,1,0,0,0
17880,75,11,3900,1,0,1,0,1,0,1,0
20600,65,2,5,1,1,1,0,0,0,0,0
20170,86,23,4914,1,1,1,0,1,0,0,0
16500,325,21,9392,1,1,1,0,1,1,0,0
15640,154,26,5400,1,0,1,0,1,0,0,1
17440,52,5,673,1,1,1,0,1,0,1,0
19560,108,22,6300,1,1,1,0,1,0,0,0
19700,75,4,350,1,0,1,1,0,0,0,0
18170,116,28,3458,1,1,1,0,1,1,0,0
19470,90,22,5922,1,1,0,0,1,0,0,0
17940,138,31,6441,1,0,1,0,1,1,0,0
19290,105,11,105,1,1,1,0,1,0,0,0
16550,100,21,8837,1,1,1,0,1,0,1,0
18860,100,22,7811,1,0,1,0,1,0,0,0
18810,86,23,8452,1,1,1,0,1,0,0,0
17190,140,22,5316,1,0,1,0,1,1,0,0
15890,105,23,1800,1,0,1,0,1,0,1,0
17230,87,24,6559,1,0,1,0,1,1,0,0
18220,90,9,2582,1,1,1,0,0,0,0,0
15950,52,8,293,1,1,1,0,1,0,1,0
18180,70,3,243,1,0,0,0,0,0,0,0
14320,85,28,3736,1,0,1,1,1,0,0,1
13940,50,4,10,1,1,1,0,0,0,0,1
14900,105,32,6424,1,0,1,0,1,0,1,0
15060,47,8,2500,1,1,1,0,1,0,1,0
17080,90,9,90,1,1,1,0,1,0,0,0
17190,52,13,710,1,1,1,0,1,0,0,0
14800,74,13,2484,1,0,1,0,1,0,1,0
16850,90,16,1540,1,1,1,0,1,0,0,0
16800,90,12,6337,1,1,1,0,1,0,0,0
16110,73,12,1586,1,1,0,0,1,0,0,0
11880,355,18,17543,1,1,1,0,1,0,1,0
14160,230,32,4380,1,1,1,0,1,1,0,0
15890,105,7,2452,1,1,1,0,0,0,0,0
12860,32,6,931,1,1,1,0,0,0,0,1
15760,108,22,5796,1,1,1,0,1,0,0,0
15490,131,33,4122,1,0,1,0,1,0,0,0
11790,205,2,128,1,1,1,0,1,0,0,1
13340,100,27,5200,1,0,1,0,1,0,1,0
14460,82,27,5100,1,0,1,0,1,1,0,0
13460,48,7,270,1,1,1,0,0,0,1,0
15510,29,5,395,1,1,1,0,0,0,0,0
15130,76,5,2220,1,0,0,0,0,0,0,0
14900,54,6,948,1,1,1,0,0,0,0,0
11950,30,15,850,1,1,1,0,0,0,0,1
14560,48,5,1176,1,1,1,0,1,0,0,0
14390,76,5,2379,1,0,0,0,0,0,0,0
13530,70,7,3500,1,1,1,0,1,1,0,0
13470,45,5,727,1,1,0,0,0,1,0,0
14340,42,13,3805,1,1,1,0,1,0,0,0
13370,35,5,304,1,1,1,0,0,1,0,0
11290,45,6,165,1,0,0,0,0,0,0,1
11830,136,30,5148,1,0,1,0,1,0,1,0
12080,41,17,1785,1,1,1,0,0,0,1,0
12860,80,14,7622,1,0,1,0,1,1,0,0
10970,75,14,3000,1,0,1,0,0,0,0,1
11010,45,3,22,1,0,1,1,0,0,0,1
13330,29,9,29,0,1,0,0,0,0,0,0
13180,55,10,291,1,1,1,0,1,0,0,0
13100,30,7,208,0,0,0,0,0,0,0,0
12850,75,9,755,1,0,0,0,0,0,0,0
12530,90,16,17020,1,1,1,0,1,0,0,0
10920,80,7,1625,1,0,1,0,0,0,1,0
12410,27,4,63,1,1,1,1,0,0,0,0
10680,35,11,1388,1,1,0,0,0,0,1,0
10250,165,31,6155,1,0,1,0,1,0,1,0
11080,163,31,9438,1,0,1,0,1,1,0,0
11440,23,6,1301,1,1,0,0,0,1,0,0
11310,50,11,1722,1,1,0,0,0,1,0,0
9650,28,11,732,1,1,0,1,0,0,0,1
9650,24,11,1392,0,1,0,0,0,0,0,1
10220,46,17,1021,1,0,1,0,1,0,1,0
9260,52,4,20,0,0,0,0,0,0,0,1
9880,100,19,3091,1,1,1,0,0,0,1,0
11370,98,26,2785,1,1,1,0,1,0,0,0
11390,90,7,209,1,0,1,0,1,0,0,0
10710,85,27,3800,1,0,1,1,0,1,0,0
9920,80,11,2964,1,1,1,0,1,0,1,0
11420,75,12,3730,1,0,1,0,1,0,0,0
9140,72,13,1347,0,0,0,0,0,0,0,1
9950,62,10,608,1,0,1,0,1,0,1,0
9980,44,10,4484,0,1,0,1,0,0,1,0
11490,21,7,883,1,0,0,0,0,0,0,0
11290,85,24,8604,1,0,1,1,0,0,0,0
11210,66,21,3772,1,0,0,0,1,0,0,0
11260,26,4,56,1,1,0,0,0,0,0,0
9720,52,7,2350,1,1,0,0,0,0,1,0
10940,85,25,6228,1,0,0,0,0,0,0,0
11000,52,4,27,1,0,0,0,0,0,0,0
8810,48,4,48,1,0,0,0,0,0,0,1
10170,85,15,3477,1,0,1,0,0,1,0,0
10920,21,18,259,1,1,1,0,0,0,0,0
10250,187,31,4788,1,0,1,0,1,0,0,0
8260,140,32,4690,1,0,1,0,1,0,0,1
9110,88,24,5870,1,0,1,1,0,0,1,0
10510,75,27,9001,1,0,1,1,0,0,0,0
8850,150,32,12370,1,0,1,0,1,0,1,0
8940,120,22,4300,1,0,1,1,0,0,1,0
10430,50,24,1391,1,1,1,0,0,0,0,0
9070,48,5,228,0,0,0,0,0,0,1,0
10460,25,12,1031,1,1,0,0,0,0,0,0
10020,163,30,9042,1,0,1,0,1,0,0,0
9680,58,8,888,1,0,1,0,0,1,0,0
8970,52,11,633,1,1,1,0,0,0,1,0
9700,46,6,171,1,1,1,0,0,1,0,0
10340,32,4,55,1,1,0,0,0,0,0,0
8990,28,3,1,1,1,0,0,0,0,1,0
10020,90,22,9470,1,0,1,0,1,0,0,0
10090,50,7,203,0,0,0,1,0,0,0,0
9370,45,11,128,1,0,1,0,0,1,0,0
9690,130,33,8975,1,0,1,0,1,0,0,0
9220,76,19,4500,1,0,0,0,0,1,0,0
8600,21,11,557,1,1,0,0,0,0,1,0
8470,52,7,2019,1,1,1,0,0,0,1,0
9220,90,32,6600,1,0,1,0,1,0,0,0
7940,80,6,2348,1,1,0,0,0,0,1,0
9150,66,18,1157,1,0,1,0,1,0,0,0
9160,62,12,1489,1,0,1,0,1,0,0,0
9190,35,16,1290,1,1,0,0,0,0,0,0
7990,33,6,2348,1,1,0,0,0,0,1,0
7350,27,9,807,1,1,1,1,0,0,0,1
8410,111,33,9264,1,0,1,1,1,1,0,0
8470,75,16,9320,1,1,1,1,1,1,0,0
9060,44,18,1275,1,0,1,0,0,0,0,0
8690,162,30,8486,1,1,1,0,1,0,0,0
7590,25,12,981,1,1,0,0,0,0,1,0
8150,26,12,916,1,1,0,1,0,1,0,0
8610,40,11,273,1,1,1,0,0,0,0,0
8620,28,7,970,1,1,0,0,0,0,0,0
8030,217,29,7500,1,0,1,0,1,0,0,0
7320,95,17,3900,1,0,1,0,0,0,1,0
8500,28,15,1370,1,0,0,0,0,0,0,0
6630,105,33,6453,1,0,1,0,1,0,0,1
6640,99,22,18744,1,0,1,0,1,0,0,1
7250,72,23,4527,1,0,1,0,0,0,1,0
7800,162,31,6170,1,0,1,0,1,0,0,0
8030,44,10,681,1,1,1,0,0,0,0,0
7000,22,7,159,1,1,0,0,0,0,1,0
6750,24,4,140,1,1,0,0,0,0,1,0
6680,45,11,750,1,0,0,0,0,0,1,0
7110,50,33,4647,1,0,1,1,0,1,0,0
6470,62,28,1201,1,0,1,0,0,0,1,0
7010,33,11,1409,1,1,1,0,0,1,0,0
6520,217,27,5716,1,0,1,0,1,1,0,0
6340,85,29,5336,1,1,1,1,0,0,1,0
6010,195,33,3955,1,0,1,0,1,0,1,0
5700,27,12,1712,0,1,1,1,0,0,0,1
6980,61,30,2457,1,0,1,0,0,0,0,0
6080,53,27,550,1,0,1,0,0,0,1,0
5500,52,30,5125,1,0,1,0,0,0,0,1
5520,20,15,578,0,0,0,0,0,0,0,1
5500,122,33,5521,1,0,1,0,1,0,1,0
6430,27,29,938,0,0,0,0,0,0,0,0
6290,65,32,877,1,0,1,0,0,0,0,0
6320,33,33,1681,1,0,1,1,1,0,0,0
4970,20,15,3939,0,1,1,1,0,0,0,1
5290,38,15,1493,1,0,0,0,0,0,1,0
5610,90,31,6859,1,0,1,0,1,1,0,0
5460,86,33,9479,1,0,1,0,1,1,0,0
5090,41,27,609,0,0,1,0,0,0,1,0
4560,80,5,300,1,1,1,0,1,0,0,1
5390,48,5,286,1,1,1,0,0,1,0,0
5390,32,23,4028,1,1,1,0,0,1,0,0
5510,45,11,2860,0,0,0,0,0,0,0,0
4250,122,33,5188,1,0,1,0,1,0,0,1
5400,26,13,1257,0,0,0,1,0,0,0,0
4230,16,27,1310,0,0,0,1,0,0,0,1
5150,60,23,4617,0,0,0,0,0,0,0,0
5170,27,20,2376,1,0,1,0,0,0,0,0
4240,45,26,3084,1,0,1,0,0,0,1,0
4880,38,17,713,1,0,1,0,0,0,0,0
3860,30,5,757,1,0,1,0,0,0,0,1
3750,64,31,3750,1,0,1,0,0,0,0,1
4580,55,21,8283,1,0,1,0,0,0,0,0
4590,50,33,9872,0,0,1,1,0,0,0,0
4360,51,21,8332,1,0,1,0,0,0,0,0
4100,20,20,2227,1,1,0,0,0,1,0,0
3730,70,32,10734,0,0,0,1,0,0,1,0
3200,65,30,4078,1,0,1,0,0,0,0,1
4010,56,27,7200,1,0,1,0,0,0,0,0
3210,45,29,2319,1,0,1,0,0,0,0,1
3790,28,30,3530,1,0,0,1,0,0,0,0
2750,63,31,9543,1,0,1,0,0,0,0,1
3430,61,26,6483,1,0,1,0,0,0,0,0
3440,36,28,2277,0,1,1,0,0,0,0,0
3240,22,28,10611,0,0,0,1,0,1,0,0
3240,19,10,1737,0,0,0,0,0,1,0,0
3220,22,33,1228,1,0,1,1,0,0,0,0
2800,47,14,1350,1,0,1,0,0,1,0,0
2250,24,28,1390,0,0,0,0,0,0,1,0
1740,55,18,5325,1,0,1,0,0,0,1,0
1900,25,33,1140,0,0,0,0,0,0,0,0
1730,18,25,3351,0,0,0,0,0,1,0,0
1720,32,19,6833,1,0,1,0,0,0,0,0
